OrderID,OrderDate,City,Category,Product,Quantity,UnitPrice,DiscountPercent,SalesAmount
2001,08-01-2024,Chennai,Electronics,Laptop,5,55000,0,275000
2002,02-01-2024,Hyderabad,Electronics,Tablet,2,20000,0,40000
2003,18-01-2024,Mumbai,Electronics,Mobile Phone,4,15000,0,60000
2004,26-01-2024,Kolkata,Groceries,Cooking Oil 1L,8,150,0,1200
2005,05-01-2024,Kolkata,Furniture,Sofa,6,18000,0,108000
2006,04-01-2024,Hyderabad,Apparel,T-Shirt,2,600,0,1200
2007,18-01-2024,Ahmedabad,Apparel,Jacket,1,2500,0,2500
2008,19-01-2024,Pune,Groceries,Rice 5kg,5,400,0,2000
2009,03-01-2024,Kolkata,Electronics,Laptop,4,55000,0,220000
2010,21-01-2024,Ahmedabad,Electronics,Smartwatch,5,5000,0,25000
2011,22-01-2024,Chennai,Furniture,Bookshelf,6,3500,0,21000
2012,06-01-2024,Chennai,Electronics,Tablet,3,20000,5,57000
2013,27-01-2024,Pune,Groceries,Atta 10kg,4,350,0,1400
2014,09-01-2024,Hyderabad,Furniture,Office Chair,6,4500,0,27000
2015,13-01-2024,Ahmedabad,Furniture,Bookshelf,4,3500,15,11900
2016,08-01-2024,Bangalore,Groceries,Cooking Oil 1L,5,150,15,637.5
2017,08-01-2024,Pune,Apparel,Shoes,7,2000,0,14000
2018,05-01-2024,Delhi,Groceries,Rice 5kg,1,400,15,340
2019,13-01-2024,Hyderabad,Furniture,Sofa,2,18000,10,32400
2020,22-01-2024,Delhi,Groceries,Atta 10kg,1,350,10,315
2021,14-02-2024,Kolkata,Apparel,Jacket,2,2500,0,5000
2022,17-02-2024,Bangalore,Groceries,Rice 5kg,5,400,0,2000
2023,25-02-2024,Pune,Apparel,Jeans,3,1500,0,4500
2024,01-02-2024,Ahmedabad,Electronics,Tablet,6,20000,0,120000
2025,08-02-2024,Mumbai,Apparel,Jacket,4,2500,10,9000
2026,25-02-2024,Delhi,Electronics,Laptop,8,55000,10,396000
2027,09-02-2024,Bangalore,Furniture,Office Table,8,7000,10,50400
2028,13-02-2024,Kolkata,Groceries,Cooking Oil 1L,4,150,15,510
2029,08-02-2024,Delhi,Apparel,Shoes,8,2000,0,16000
2030,19-02-2024,Chennai,Electronics,Headphones,1,2000,0,2000
2031,03-02-2024,Chennai,Electronics,Laptop,1,55000,0,55000
2032,22-02-2024,Kolkata,Apparel,T-Shirt,4,600,5,2280
2033,26-02-2024,Chennai,Furniture,Office Table,8,7000,5,53200
2034,22-02-2024,Delhi,Groceries,Cooking Oil 1L,2,150,5,285
2035,28-02-2024,Ahmedabad,Apparel,Shoes,7,2000,15,11900
2036,24-02-2024,Hyderabad,Electronics,Laptop,1,55000,0,55000
2037,18-02-2024,Chennai,Electronics,Mobile Phone,4,15000,5,57000
2038,15-02-2024,Kolkata,Furniture,Sofa,3,18000,0,54000
2039,21-02-2024,Mumbai,Electronics,Smartwatch,2,5000,10,9000
2040,14-02-2024,Bangalore,Electronics,Laptop,4,55000,5,209000
2041,06-03-2024,Mumbai,Groceries,Cooking Oil 1L,7,150,5,997.5
2042,10-03-2024,Ahmedabad,Electronics,Smartwatch,5,5000,5,23750
2043,07-03-2024,Kolkata,Groceries,Cooking Oil 1L,4,150,0,600
2044,19-03-2024,Mumbai,Electronics,Headphones,1,2000,5,1900
2045,03-03-2024,Bangalore,Furniture,Office Chair,2,4500,10,8100
2046,19-03-2024,Delhi,Electronics,Mobile Phone,7,15000,0,105000
2047,22-03-2024,Hyderabad,Electronics,Tablet,2,20000,10,36000
2048,08-03-2024,Pune,Apparel,Jacket,4,2500,0,10000
2049,11-03-2024,Ahmedabad,Groceries,Cooking Oil 1L,5,150,0,750
2050,18-03-2024,Delhi,Electronics,Smartwatch,2,5000,0,10000
2051,08-03-2024,Delhi,Apparel,Jeans,6,1500,0,9000
2052,20-03-2024,Kolkata,Apparel,Jeans,8,1500,15,10200
2053,05-03-2024,Delhi,Electronics,Tablet,5,20000,0,100000
2054,10-03-2024,Kolkata,Electronics,Laptop,3,55000,10,148500
2055,17-03-2024,Kolkata,Furniture,Bookshelf,4,3500,5,13300
2056,27-03-2024,Hyderabad,Apparel,T-Shirt,2,600,0,1200
2057,21-03-2024,Bangalore,Electronics,Laptop,6,55000,0,330000
2058,04-03-2024,Mumbai,Furniture,Sofa,7,18000,0,126000
2059,14-03-2024,Bangalore,Furniture,Office Chair,6,4500,0,27000
2060,12-03-2024,Mumbai,Electronics,Headphones,6,2000,0,12000
2061,20-04-2024,Hyderabad,Furniture,Office Chair,6,4500,15,22950
2062,14-04-2024,Bangalore,Furniture,Office Table,3,7000,0,21000
2063,09-04-2024,Chennai,Furniture,Bookshelf,7,3500,0,24500
2064,08-04-2024,Ahmedabad,Electronics,Smartwatch,1,5000,0,5000
2065,08-04-2024,Chennai,Groceries,Atta 10kg,5,350,0,1750
