State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Bihar,NALANDA,1997,Rabi       ,Wheat,81934,160425
Assam,KARBI ANGLONG,2011,Whole Year ,Onion,257,514
Gujarat,ANAND,2012,Summer     ,Maize,100,100
Karnataka,UTTAR KANNAD,2005,Rabi       ,Groundnut,2872,4572
Uttar Pradesh,JAUNPUR,2008,Rabi       ,Onion,110,1290
Assam,MARIGAON,2006,Rabi       ,Rapeseed &Mustard,6535,2719
Odisha,SONEPUR,1998,Winter     ,Rapeseed &Mustard,91,6
Rajasthan,DHOLPUR,2009,Whole Year ,Garlic,1,1
Karnataka,BELGAUM,2010,Whole Year ,Coconut ,336,3212
Bihar,MUNGER,2012,Summer     ,Moong(Green Gram),125,78
Chhattisgarh,JANJGIR-CHAMPA,2005,Kharif     ,Other Kharif pulses,223,107
Assam,KARBI ANGLONG,2011,Rabi       ,Rapeseed &Mustard,19337,8652
Uttar Pradesh,SHRAVASTI,1997,Kharif     ,Groundnut,72,58
Gujarat,PATAN,2011,Kharif     ,Moong(Green Gram),9100,3300
Tamil Nadu,KARUR,2000,Whole Year ,Sweet potato,20,309
Uttar Pradesh,KASGANJ,2011,Rabi       ,Tobacco,5247,28554
Haryana,MAHENDRAGARH,1998,Rabi       ,Wheat,45074,186000
Assam,DHEMAJI,2009,,Turmeric,321,211
Assam,BAKSA,2007,Kharif     ,Small millets,284,127
Kerala,PATHANAMTHITTA,2000,Whole Year ,Sugarcane,224,10950
Chhattisgarh,JANJGIR-CHAMPA,2010,Rabi       ,Linseed,2497,658
Chhattisgarh,DHAMTARI,2012,,Banana,46,1520
Karnataka,BELLARY,2008,Rabi       ,Maize,3418,7487
Assam,TINSUKIA,2012,Autumn     ,Rice,5806,7964
Uttar Pradesh,RAE BARELI,,Kharif     ,Maize,11,13
Karnataka,KOLAR,2012,Rabi       ,Cowpea(Lobia),14,5
Madhya Pradesh,NEEMUCH,2011,Whole Year ,Sesamum,780,456
West Bengal,BARDHAMAN,2007,Kharif     ,Sannhamp,37,275
Odisha,NAYAGARH,2003,Whole Year ,Dry chillies,510,430
Punjab,AMRITSAR,,Rabi       ,Peas & beans (Pulses),400,300
Rajasthan,BANSWARA,2005,Kharif     ,Jowar,688,197
Andhra Pradesh,KADAPA,2004,Kharif     ,Ragi,25,35
Odisha,NABARANGPUR,2004,Whole Year ,,82,263
Haryana,BHIWANI,2008,Kharif     ,Groundnut,50,100
Bihar,SHEOHAR,2008,Rabi       ,Rapeseed &Mustard,251,5
Tamil Nadu,PUDUKKOTTAI,2008,Whole Year ,Sunflower,106,141
Bihar,MADHEPURA,2000,Rabi       ,Peas & beans (Pulses),1232,1279
