order id,Order Date,City,Cuisine,Gender,Department,Study Hours,Attendance Pct,Screen Time Hrs,Exam Score,Order Amount Paise,Delivery Time Min,Rating,Status,Month,Avg Temp C,Rainfall MM,Humidity Pct,Satisfaction Score
ORD1206,2024-07-25,Hyderabad,Fast Food,Female,Marketing,5.6,81.5,2.8,69.4,153715,37.0,3.0,Delivered,8,26.6,101.4,60.6,5.0
ORD1033,2024-02-03,Mumbai,South Indian,Male,Marketing,1.4,84.9,3.2,46.1,75147,41.0,5.0,Pending,10,29.1,82.5,93.4,5.0
ORD1163,2024-06-12,Mumbai,Fast Food,Male,HR,6.2,51.9,4.3,64.7,176351,43.0,3.6,Delivered,9,31.9,98.6,67.8,1.0
ORD1078,2024-03-19,Chennai,Italian,Female,HR,1.4,74.2,5.5,35.6,22023,29.0,2.0,Delivered,11,23.5,94.3,80.7,4.0
ORD1229,2024-08-17,Chennai,Italian,Male,Finance,3.9,66.5,3.0,58.0,185593,32.0,4.1,Delivered,6,27.4,139.4,86.6,4.0
ORD1025,2024-01-26,Bangalore,South Indian,Female,IT,5.2,55.7,5.3,68.0,124555,37.0,4.4,Delivered,4,21.1,41.2,64.3,3.0
ORD1009,2024-01-10,Hyderabad,Continental,Male,Marketing,4.8,82.1,2.9,58.5,197558,47.0,3.9,Cancelled,2,30.8,61.5,87.7,4.0
ORD1063,2024-03-04,Delhi,North Indian,Male,HR,7.3,67.7,1.8,73.9,187823,33.0,3.3,Delivered,6,24.5,13.7,60.2,4.0
ORD1082,2024-03-23,Hyderabad,Chinese,Male,IT,7.3,92.1,1.5,89.4,84429,33.0,4.2,Delivered,6,27.4,13.0,67.2,4.0
ORD1167,2024-06-16,Bangalore,North Indian,Female,Operations,5.9,69.9,2.9,74.6,180381,22.0,4.6,Delivered,2,22.4,139.5,83.7,4.0
ORD1193,2024-07-12,Delhi,South Indian,Male,Unknown,4.0,87.2,3.0,66.3,151234,36.0,4.2,Pending,6,21.4,113.3,81.3,4.0
ORD1157,2024-06-06,Hyderabad,Fast Food,Male,Operations,3.3,69.2,3.9,54.5,114788,21.0,3.6,Delivered,9,27.7,84.9,80.4,4.0
ORD1060,2024-03-01,Delhi,South Indian,Male,Operations,5.0,70.2,2.2,68.6,109464,37.0,2.7,Pending,5,29.2,69.0,60.6,5.0
ORD1145,2024-05-25,Chennai,Italian,Male,Marketing,7.3,90.2,2.0,86.0,66850,35.0,3.9,Delivered,11,36.4,139.4,62.3,1.0
ORD1198,2024-07-17,Hyderabad,North Indian,Female,Finance,1.7,91.5,2.7,53.6,183663,48.0,5.0,Delivered,5,29.8,89.8,79.5,4.0
ORD1213,2024-08-01,Delhi,Continental,Female,Finance,7.4,74.6,3.2,82.3,122304,27.0,4.1,Delivered,9,20.6,28.1,62.4,5.0
ORD1279,2024-10-06,Bangalore,Fast Food,Male,Marketing,6.6,68.8,4.8,70.6,90202,41.0,3.6,Cancelled,1,26.9,20.1,72.7,4.0
ORD1042,2024-02-12,Chennai,Fast Food,Female,IT,3.8,91.1,3.4,60.0,187807,26.0,3.6,Delivered,4,24.1,78.5,56.5,4.0
ORD1005,2024-01-06,Delhi,Chinese,Female,Operations,6.8,86.8,4.0,78.1,75731,28.0,2.9,Cancelled,4,27.5,4.4,85.4,4.0
